mp_name,constituency,region,country,party,party_abbreviation,signed_call
Bridget Phillipson,Houghton and Sunderland South,North East,England,Labour,Lab,FALSE
Peter Kyle,Hove and Portslade,South East,England,Labour,Lab,FALSE
Harpreet Uppal,Huddersfield,Yorkshire and The Humber,England,Labour,Lab,FALSE
Ben Obese-Jecty,Huntingdon,East of England,England,Conservative,Con,FALSE
Sarah Smith,Hyndburn,North West,England,Labour,Lab,FALSE
Wes Streeting,Ilford North,London,England,Labour,Lab,FALSE
Jas Athwal,Ilford South,London,England,Labour,Lab,FALSE
Martin McCluskey,Inverclyde and Renfrewshire West,Scotland,Scotland,Labour,Lab,FALSE
Angus MacDonald,"Inverness, Skye and West Ross-shire",Scotland,Scotland,Liberal Democrat,LD,FALSE
Jack Abbott,Ipswich,East of England,England,Labour and Co-operative,Lab,FALSE
Joe Robertson,Isle of Wight East,South East,England,Conservative,Con,FALSE
Richard Quigley,Isle of Wight West,South East,England,Labour,Lab,FALSE
Jeremy Corbyn,Islington North,London,England,Independent,Ind,FALSE
Emily Thornberry,Islington South and Finsbury,London,England,Labour,Lab,FALSE
Kate Osborne,Jarrow and Gateshead East,North East,England,Labour,Lab,FALSE
Robbie Moore,Keighley and Ilkley,Yorkshire and The Humber,England,Conservative,Con,FALSE
Jeremy Wright,Kenilworth and Southam,West Midlands,England,Conservative,Con,FALSE
Joe Powell,Kensington and Bayswater,London,England,Labour,Lab,FALSE
Rosie Wrighting,Kettering,East Midlands,England,Labour,Lab,FALSE
Lillian Jones,Kilmarnock and Loudoun,Scotland,Scotland,Labour,Lab,FALSE
Ed Davey,Kingston and Surbiton,London,England,Liberal Democrat,LD,FALSE
Karl Turner,Kingston upon Hull East,Yorkshire and The Humber,England,Labour,Lab,FALSE
Diana Johnson,Kingston upon Hull North and Cottingham,Yorkshire and The Humber,England,Labour,Lab,FALSE
Emma Hardy,Kingston upon Hull West and Haltemprice,Yorkshire and The Humber,England,Labour,Lab,FALSE
Mike Wood,Kingswinford and South Staffordshire,West Midlands,England,Conservative,Con,FALSE
Anneliese Midgley,Knowsley,North West,England,Labour,Lab,FALSE
Sorcha-Lucy Eastwood,Lagan Valley,Northern Ireland,Northern Ireland,Alliance,Alliance,FALSE
