mp_name,constituency,region,country,party,party_abbreviation,signed_call
Nus Ghani,Sussex Weald,South East,England,Conservative,Con,FALSE
Luke Taylor,Sutton and Cheam,London,England,Liberal Democrat,LD,TRUE
Andrew Mitchell,Sutton Coldfield,West Midlands,England,Conservative,Con,FALSE
Torsten Bell,Swansea West,Wales,Wales,Labour,Lab,FALSE
Will Stone,Swindon North,South West,England,Labour,Lab,FALSE
Heidi Alexander,Swindon South,South West,England,Labour,Lab,FALSE
Sarah Edwards,Tamworth,West Midlands,England,Labour,Lab,FALSE
Esther McVey,Tatton,North West,England,Conservative,Con,FALSE
Gideon Amos,Taunton and Wellington,South West,England,Liberal Democrat,LD,TRUE
Shaun Davies,Telford,West Midlands,England,Labour,Lab,FALSE
Cameron Thomas,Tewkesbury,South West,England,Liberal Democrat,LD,FALSE
Mark Pritchard,The Wrekin,West Midlands,England,Conservative,Con,FALSE
Kevin Hollinrake,Thirsk and Malton,Yorkshire and The Humber,England,Conservative,Con,FALSE
Claire Young,Thornbury and Yate,South West,England,Liberal Democrat,LD,FALSE
Jen Craft,Thurrock,East of England,England,Labour,Lab,FALSE
Antonia Bance,Tipton and Wednesbury,West Midlands,England,Labour,Lab,FALSE
Rachel Gilmour,Tiverton and Minehead,South West,England,Liberal Democrat,LD,FALSE
Tom Tugendhat,Tonbridge,South East,England,Conservative,Con,FALSE
Rosena Allin-Khan,Tooting,London,England,Labour,Lab,FALSE
Steve Darling,Torbay,South West,England,Liberal Democrat,LD,TRUE
Nick Thomas-Symonds,Torfaen,Wales,Wales,Labour,Lab,FALSE
Geoffrey Cox,Torridge and Tavistock,South West,England,Conservative,Con,FALSE
David Lammy,Tottenham,London,England,Labour,Lab,FALSE
Jayne Kirkham,Truro and Falmouth,South West,England,Labour and Co-operative,Lab,FALSE
Mike Martin,Tunbridge Wells,South East,England,Liberal Democrat,LD,FALSE
Munira Wilson,Twickenham,London,England,Liberal Democrat,LD,TRUE
Alan Campbell,Tynemouth,North East,England,Labour,Lab,FALSE
Carla Lockhart,Upper Bann,Northern Ireland,Northern Ireland,Democratic Unionist Party,DUP,FALSE
Danny Beales,Uxbridge and South Ruislip,London,England,Labour,Lab,FALSE
Kanishka Narayan,Vale of Glamorgan,Wales,Wales,Labour,Lab,FALSE
Florence Eshalomi,Vauxhall and Camberwell Green,London,England,Labour and Co-operative,Lab,FALSE
Simon Lightwood,Wakefield and Rothwell,Yorkshire and The Humber,England,Labour and Co-operative,Lab,FALSE
Angela Eagle,Wallasey,North West,England,Labour,Lab,FALSE
Valerie Vaz,Walsall and Bloxwich,West Midlands,England,Labour,Lab,FALSE
Stella Creasy,Walthamstow,London,England,Labour and Co-operative,Lab,FALSE
Charlotte Nichols,Warrington North,North West,England,Labour,Lab,FALSE
Sarah Hall,Warrington South,North West,England,Labour and Co-operative,Lab,FALSE
Matt Western,Warwick and Leamington,West Midlands,England,Labour,Lab,FALSE
Sharon Hodgson,Washington and Gateshead South,North East,England,Labour,Lab,FALSE
Matt Turmaine,Watford,East of England,England,Labour,Lab,FALSE
Adrian Ramsay,Waveney Valley,East of England,England,Green,Green,TRUE
Katie Lam,Weald of Kent,South East,England,Conservative,Con,FALSE
Gen Kitchen,Wellingborough and Rushden,East Midlands,England,Labour,Lab,FALSE
Tessa Munt,Wells and Mendip Hills,South West,England,Liberal Democrat,LD,TRUE
Andrew Lewin,Welwyn Hatfield,East of England,England,Labour,Lab,FALSE
Andrew Bowie,West Aberdeenshire and Kincardine,Scotland,Scotland,Conservative,Con,FALSE
Sarah Coombes,West Bromwich,West Midlands,England,Labour,Lab,FALSE
Edward Morello,West Dorset,South West,England,Liberal Democrat,LD,TRUE
Douglas McAllister,West Dunbartonshire,Scotland,Scotland,Labour,Lab,FALSE
James Asser,West Ham and Beckton,London,England,Labour,Lab,FALSE
Ashley Dalton,West Lancashire,North West,England,Labour,Lab,FALSE
Nick Timothy,West Suffolk,East of England,England,Conservative,Con,FALSE
Órfhlaith Begley,West Tyrone,Northern Ireland,Northern Ireland,Sinn Fein,SF,FALSE
Harriett Baldwin,West Worcestershire,West Midlands,England,Conservative,Con,FALSE
Tim Farron,Westmorland and Lonsdale,North West,England,Liberal Democrat,LD,TRUE
Daniel Aldridge,Weston-super-Mare,South West,England,Labour,Lab,FALSE
Alec Shelbrooke,Wetherby and Easingwold,Yorkshire and The Humber,England,Conservative,Con,FALSE
Josh MacAlister,Whitehaven and Workington,North West,England,Labour,Lab,FALSE
Derek Twigg,Widnes and Halewood,North West,England,Labour,Lab,FALSE
Lisa Nandy,Wigan,North West,England,Labour,Lab,FALSE
Paul Kohler,Wimbledon,London,England,Liberal Democrat,LD,FALSE
Danny Chambers,Winchester,South East,England,Liberal Democrat,LD,TRUE
Jack Rankin,Windsor,South East,England,Conservative,Con,FALSE
Matthew Patrick,Wirral West,North West,England,Labour,Lab,FALSE
Priti Patel,Witham,East of England,England,Conservative,Con,FALSE
Charles Maynard,Witney,South East,England,Liberal Democrat,LD,FALSE
Will Forster,Woking,South East,England,Liberal Democrat,LD,TRUE
Clive Jones,Wokingham,South East,England,Liberal Democrat,LD,FALSE
Sureena Brackenridge,Wolverhampton North East,West Midlands,England,Labour,Lab,FALSE
Pat McFadden,Wolverhampton South East,West Midlands,England,Labour,Lab,FALSE
Warinder Juss,Wolverhampton West,West Midlands,England,Labour,Lab,FALSE
Tom Collins,Worcester,West Midlands,England,Labour,Lab,FALSE
Michael Wheeler,Worsley and Eccles,North West,England,Labour,Lab,FALSE
Beccy Cooper,Worthing West,South East,England,Labour,Lab,FALSE
Andrew Ranger,Wrexham,Wales,Wales,Labour,Lab,FALSE
Emma Reynolds,Wycombe,South East,England,Labour,Lab,FALSE
Mark Garnier,Wyre Forest,West Midlands,England,Conservative,Con,FALSE
Mike Kane,Wythenshawe and Sale East,North West,England,Labour,Lab,FALSE
Adam Dance,Yeovil,South West,England,Liberal Democrat,LD,TRUE
Llinos Medi,Ynys Môn,Wales,Wales,Plaid Cymru,PC,FALSE
Rachael Maskell,York Central,Yorkshire and The Humber,England,Labour and Co-operative,Lab,FALSE
Luke Charters,York Outer,Yorkshire and The Humber,England,Labour,Lab,FALSE
